AQW00061705         541C   497C   552C   522C   519C   479C   473C   474C   480C   507C   508C   538C
USC00172623           0Q     0Q     0Q -7777Q     2Q    33Q   104Q    78Q    13Q -7777Q     0Q     0Q
USC00172700           0R     0R     0R -7777R     3R    25R    56R    35R     8R -7777R     0R     0R
USC00172765           0C     0C     0C -7777C     6C    45C   101C    76C    15C     1C     0C     0C
USC00172878           0S     0S     0S -7777C     4C    28C    63S    42C    10C -7777C     0C     0C
USC00173046           0C     0S     0C -7777C     7C    57C   140C   115C    26C     1C     0C     0C
USC00173261           0S     0S     0S -7777S     6S    47R   129S   106S    21S     1R     0S     0S
USC00173295           0R     0R     0R     1R    10R    65R   150R   133R    28R     2R -7777R     0R
USC00173353           0Q     0Q     0Q -7777Q     6Q    32Q    77Q    59Q     9Q     1Q -7777Q     0Q
USC00173417           0Q     0Q     0Q -7777Q     5Q    43Q    92Q    63Q    14Q -7777Q     0Q     0Q
USC00173570           0R     0R     0R -7777R     5R    30R    71R    49R    11R     1R -7777R     0R
USC00173862           0R     0R     0R     1R     7R    59R   127R    91R    20R     1R -7777R     0R
USC00173944           0R     0R     0R -7777R     7R    44R    96R    72R    16R -7777R     0R     0R
USC00174086           0S     0S     0S -7777S     3S    31S    65S    45S    11S -7777S     0S     0S
USC00174183           0S     0R     0R     0S     1S    18R    60S    55R    12S -7777S     0S     0S
USC00174193           0R     0R     0R -7777R     4R    31R    93R    69R    15R -7777R     0R     0R
USC00174566           0R     0R     0R -7777R     9R    70R   167R   133R    31R -7777R     0R     0R
USC00174683           0Q     0Q     0Q -7777Q    10Q    55Q   129Q    96Q    17Q -7777Q     0Q     0Q
USC00174781           0C     0C     0C -7777C     2S    23S    50S    36S     9C -7777C     0C     0C
USC00174927           0C     0C     0C -7777C     6C    51S   123C    89C    18C     1C     0C     0C
USC00175261           0S     0S     0S -7777S     3S    30S    62S    46S    10S -7777R     0S     0R
USC00175304           0S     0S     0S -7777S     6S    49S   115S    88S    17S -7777S     0S     0S
USC00175347           0Q     0Q     0Q -7777Q     7Q    51Q   111Q    79Q    17Q -7777Q     0Q     0Q
USC00175675           0C     0C     0C -7777C     7S    46C   121C   101C    21C -7777C     0C     0C
USC00176430           0R     0R     0R -7777R     9R    75R   172R   142R    28R     1R     0R     0R
USC00176594           0R     0R     0R -7777R     4R    28R    72R    54R    11R -7777R     0R     0R
USC00176721           0R     0R     0R -7777R     3R    26R    54R    38R    10R -7777R     0R     0R
USC00176856           0Q     0Q     0Q -7777Q     9Q    57Q   139Q   110Q    26Q     1Q -7777Q     0Q
USC00176875           0Q     0Q     0Q -7777Q     7Q    36Q    89Q    65Q     9Q -7777Q -7777Q     0Q
USC00176881           0R     0R     0R     0R -7777R     6R    38R    31R     5R     0R     0R     0R
USC00176937           0S     0S     0S -7777S     8S    47S    96S    78S    18S     1S -7777S     0S
USC00177037           0S     0S     0S -7777S     2S    24S    53S    38S     7S -7777S     0S     0S
USC00177039           0R     0R     0R     0R     3R    21R    43R    30R     7R -7777R -7777R     0R
USC00177174           0R     0R     0R -7777R     3R    28R    77R    61R    11R -7777R     0R     0R
USC00177238           0R     0R     0R     0R     1R    18R    61R    57R    12R -7777R     0R     0R
USC00177325           0S     0S     0S     1S     9S    59S   123S    97S    22S -7777S     0S     0S
USC00177479           0S     0S -7777S     2S    18S    90S   186S   155S    48S     3S -7777S     0S
USC00177654           0R     0R     0R -7777R     5R    44R    93R    64R    14R -7777R     0R     0R
USC00178353           0R     0R     0R -7777R     5R    41R   107R    81R    18R     1R     0R     0R
USC00178792           0Q     0Q     0Q -7777Q     5Q    32Q    97Q    80Q    15Q -7777Q     0Q     0Q
USC00178817           0Q     0Q     0Q     1Q    10Q    55Q   130Q   108Q    25Q     1Q -7777Q     0Q
USC00178965           0S     0S     0S -7777S     4S    32S    71S    48S    10S -7777S     0S     0S
USC00178974           0S     0S     0S -7777S     4S    44S   110S    94S    17R -7777S     0S     0S
USC00179151           0S     0S     0S -7777S     7S    59S   147S   115S    26S     1S     0S     0S
USC00179294           0R     0R     0R     0R     3R    28R    80R    75R    13R     1R -7777R     0R
USC00179314           0S     0S     0S     1S     9S    64S   141S   115S    26S     1S     0S     0S
USC00179547           0Q     0Q     0Q     0Q     4Q    30Q    90Q    82Q    15Q -7777Q     0Q     0Q
USC00179593           0S     0S     0S -7777S     5S    40S   107S    93S    21S -7777S     0S     0S
USC00179891           0S     0S     0S -7777S     4S    48C   124C   102C    20S -7777C -7777C     0S
USC00180193       -7777R -7777R     2R    27R   121R   336R   479R   435R   235R    42R     3R -7777R
USC00180335           0R     0R -7777R     4R    47R   216R   360R   348R   211R    42R     2R -7777R
USC00180700       -7777S -7777S     2S    15S    80S   253S   381S   336S   150S    20S     1S -7777S
USC00180732           0R     0R     2R    19R    99R   281R   426R   374R   166R    28R     1R -7777R
USC00181385           0R -7777R     3R    20R    99R   305R   442R   382R   205R    43R     3R -7777R
USC00181530           0C -7777C     2C    16C    54C   160S   251S   213S    81S    12S     1S     0S
USC00181750           0C -7777C     1C    14S    80S   253S   384S   335S   147S    22S     1S -7777S
USC00181862       -7777R     0R     1R    12R    63R   221R   335R   276R   124R    13R     1R -7777R
USC00181995       -7777R -7777R     5R    22R   108R   294R   436R   379R   187R    30R     2R -7777R
USC00182060           0R     0R -7777R    10S    74S   270R   408S   358S   157R    20R -7777R     0S
USC00182282           0S -7777S     2S    16S    80S   239S   364S   324S   132S    17S     1S     0S
USC00182308           0Q     0Q -7777Q    11Q    56Q   177Q   289Q   248Q    87Q    12Q -7777Q     0Q
USC00182325       -7777S -7777S     4S    26S   104S   285S   412S   368S   178S    29S     2S -7777S
USC00182335           0R     0R     3R    13R    60R   201R   322R   284R   121R    18R -7777R -7777R
USC00182336           0R -7777R     2R    15R    56R   187R   291R   252R    93R    10R     1R     0R
USC00182906           0S     0S -7777S     6S    42S   171S   295S   246S    88S    11S -7777S     0S
USC00183348       -7777R -7777R     3R    23R   100R   281R   415R   356R   169R    25R     1R -7777R
USC00183353           0Q     0Q -7777Q    10Q    66Q   225Q   352Q   307Q   107Q    12Q -7777Q     0Q
USC00183415           0S     0S -7777S     4S    19S    81S   143S   119S    38S     3S -7777S     0S
USC00183675       -7777S -7777R     2R    13S    66R   226R   358R   311R   134R    18R     1R -7777R
USC00184030       -7777R     0R -7777R     6R    47R   171R   287R   238R    95R    11R -7777R -7777R
USC00185080       -7777R -7777R     6R    28R    91R   250R   366R   329R   156R    30R     6R -7777R
USC00185111           0R -7777R     3R    20R   100R   274R   423R   376R   168S    28S     1S -7777R
USC00185832           0R     0R     1R     5R    20R    81R   141R   115R    36R     2R -7777R     0R
USC00185865       -7777S -7777S     3S    18S    60S   208S   326S   273S   111S    15S     2S -7777S
USC00185934           0R     0R     1R     9R    46R   162R   263R   223R    81R    10R -7777R -7777R
USC00185985           0R     0R     1R    11R    76R   236R   380R   330R   147R    25R     2R -7777R
USC00186350       -7777S -7777S     4S    25S   112S   312S   452S   403S   191S    30S     3S     1S
USC00186620           0S -7777S -7777S     1S    10S    63S   128S    98S    25S     1S     0S     0S
USC00186770           0R -7777R     3R    17R    82R   245R   367R   319R   155R    26R     3R -7777R
USC00186800           0Q     0Q     1Q    26Q    93Q   288Q   412Q   369Q   168Q    24Q     2Q     0Q
USC00187330           0R -7777R     2R    16R    74R   228R   369R   294R   136R    25R     3R -7777R
USC00187705           0S -7777R     4S    19R    83R   249R   369R   318R   138R    17R     1R -7777R
USC00187806           0C -7777C     2C    19C    97S   290C   423C   370C   184C    35C     3C -7777C
USC00188000       -7777S -7777S     4S    25S   100S   285S   422S   367S   192S    38S     5S -7777S
USC00188065           0S     0S -7777S     3S    21S    97S   173S   147S    47S     3S -7777S     0S
USC00188207           0R     0R -7777R     9R    52R   178R   284R   245R    92R    12R     1R -7777R
USC00188371           0Q     0Q -7777Q    11Q    39Q   187Q   295Q   254Q    82Q    10Q -7777Q -7777Q
USC00188380       -7777C -7777C     3C    21C    94C   270C   384C   333C   176C    36C     4C -7777C
USC00188405           0Q     0Q -7777Q    20Q    92Q   317Q   454Q   417Q   222Q    38Q     4Q     0Q
USC00188557           0Q     0Q     1Q     8Q    63Q   265Q   367Q   347Q   153Q    22Q -7777Q     0Q
USC00189030           0R     0R     1R     9R    52R   187R   302R   255R   107R    13R     1R     0R
USC00189070           0R -7777R     2R    19R    81R   248S   370S   314S   140S    21S     2S -7777S
USC00189140       -7777S -7777S     1S    21S   104S   297S   442S   382S   191S    38S     4S -7777S
USC00189440           0R     0R     2R    12R    63R   212R   325R   264R   113R    15R     1R     0R
USC00189570           0Q     0Q -7777Q     6Q    51Q   180Q   316Q   282Q   100Q     9Q -7777Q     0Q
USC00189750           0R     0R     3R    14R    71R   238R   354R   312R   134R    20R     2R -7777R
USC00190120           0S     0S -7777S     2S    20S   101S   188C   153C    47C     3S -7777C     0C
USC00190190           0Q     0Q     0Q     2Q     8Q    61Q   143Q   108Q    19Q -7777Q     0Q     0Q
USC00190192           0Q     0Q     0Q     1Q     8Q    54Q   113Q    85Q    17Q     1Q     0Q     0Q
USC00190213           0Q     0Q     0Q     0Q     3Q    18Q    86Q    48Q     9Q     0Q     0Q     0Q
USC00190408           0R     0R -7777R     1R    10S    56S   114S    90S    24S     2R -7777R     0R
USC00190535           0R     0R -7777R     3R    20R   101R   207R   174R    51R     4R -7777R     0R
USC00190562           0Q     0Q     0Q -7777Q    10Q    62Q   184Q   142Q    27Q -7777Q     0Q     0Q
USC00190593           0R     0R -7777R     1R     9R    64R   147R   125R    30R     2R -7777R     0R
USC00190666           0R     0R     0R     1S    13S    72S   146S   112S    29S     1R -7777R     0R
USC00190759           0R     0R -7777R -7777R     8R    57R   125R    89R    24R     2R     0R     0R
USC00190840           0Q     0Q     0Q     1Q     9Q    86Q   205Q   159Q    36Q     4Q -7777Q     0Q
USC00190860           0S     0S -7777S     1S    15S    92S   201S   171S    51S     5S -7777S     0S
USC00190998           0R     0R     0R     1R    17S    88S   181S   147S    41S     3R -7777R     0R
USC00191386           0S     0S     0S -7777S     1S    31C   129S   122S    38S     2S     0S     0S
USC00191774           0R     0R -7777R     1R    15R    57R   100R    84R    26R     2R     0R     0R
USC00191821           0Q     0Q     0Q     1Q    10Q    69Q   124Q   110Q    19Q     1Q     0Q     0Q
USC00192107           0S     0S -7777S     2S    18S    95S   181S   146S    44S     2S -7777S     0S
USC00192451           0R     0R     0S -7777R     7S    77S   206S   176S    54S     4S -7777S     0S
USC00192501           0S     0S     0S     1S     8S    81S   215S   201S    77S     7S -7777S     0S
USC00193213           0R     0R -7777R     2R    25R   103R   189R   144R    44R     3R -7777R     0R
USC00193229           0Q     0Q     0Q     1Q    13Q    75Q   151Q   124Q    25Q     1Q     0Q     0Q
USC00193276           0R     0R -7777R     3R    15R    95R   195R   157R    44R     3R -7777R     0R
USC00193505           0S     0S -7777S     2S    17S    92S   204S   166S    51S     3S -7777S     0S
USC00193624           0C     0C -7777C     3C    22C   115C   229C   190C    64C     7S -7777C     0C
USC00193821           0S     0S     0S -7777S     6S    71S   188R   172S    55S     4S     0S     0S
USC00193890           0R     0R -7777R     3R    27R   139R   258R   215R    74S     5R -7777R     0S
USC00193985           0R     0R -7777R     1R    11R    58R   134R   101R    29R     2R     0R     0R
USC00194075           0R     0R     0R -7777R     9R    48R    99R    82R    26R     2R     0R     0R
USC00194105           0S     0S -7777S     3S    26S   130S   250S   223S    72S     4S -7777S     0S
USC00194131           0R     0R -7777R     2R    14R    72R   143R   121R    27R     2R     0R     0R
USC00194313           0R     0R -7777R     3R    21R   110R   226R   189R    54R     4R -7777R     0R
USC00194502           0R     0R -7777R     3R    16R    99R   205R   178R    58R     5R -7777R     0R
USC00194580           0S     0S -7777S     4S    29S   126S   234S   200S    61S     5S -7777S     0S
USC00194711           0Q     0Q     0Q -7777Q     8Q    88Q   204Q   164Q    34Q     1Q     0Q     0Q
USC00194744           0S     0S -7777S     5S    30S   134S   251S   218S    82S     8S -7777S -7777S
USC00195175           0Q     0Q     0Q     1Q    18Q   101Q   203Q   164Q    38Q     4Q -7777Q     0Q
USC00195246           0R     0R -7777R     1R    19R   131R   287R   255R    99R    10R -7777R     0R
USC00195984           0R     0R -7777R     2R    15R   100R   218R   170R    48R     5R -7777R     0R
USC00196245           0R     0R -7777R -7777R    18R    96R   184R   159R    52R     3R     0R     0R
USC00196486           0S     0S -7777S     1S    13S   100S   217S   178S    58S     6S -7777S     0S
USC00196783           0S     0S -7777S     3S    22S   105S   215S   180S    55S     5S -7777S     0S
USC00196938           0S     0S -7777S     1S    18S   105C   223S   193S    64C     6S -7777C     0S
USC00197230           0Q     0Q -7777Q     2Q     9Q    48Q    96Q    71Q    18Q     1Q -7777Q     0Q
USC00197627           0R     0R -7777R     1R    15R    84R   167R   132R    37R     1R -7777R     0R
USC00198367           0R     0S -7777R     1R    23S   121S   238S   214R    72S     6R -7777R     0R
USC00198573           0R     0R -7777R     2C    18S    92C   177C   143S    39S     2R -7777R     0R
USC00198757           0C     0C -7777C     3S    26C   123C   239C   202C    65C     6C -7777C     0C
USC00199193           0Q     0Q     0Q     2Q    15Q    85Q   194Q   156Q    27Q     1Q     0Q     0Q
USC00199316           0R     0R -7777R     2R    22R   114R   225R   192R    61R     5R -7777R     0R
USC00199371           0Q     0Q -7777Q     1Q    10Q    42Q    93Q    75Q    17Q     1Q     0Q     0Q
USC00199972           0R     0R     0R     2R    10R    50R    99R    76R    18R     1R     0R     0R
USC00200032           0S     0S -7777S     3S    25S   119S   192S   151S    49S     4S -7777S     0S
USC00200089           0R     0R -7777R     2R    13R    52R    91R    79R    25R     1R -7777R     0R
USC00200106           0Q     0Q     0Q -7777Q    25Q   130Q   246Q   184Q    57Q    10Q -7777Q     0Q
USC00200128           0S     0S -7777S     5R    22S    98R   159R   135R    45R     4R -7777R     0R
USC00200146           0C -7777C -7777C     4C    27C   115C   191C   144C    44C     4C -7777C     0C
USC00200166           0R     0R     0R     1R    12R    57R   115R    72R    21R     4R     0R     0R
USC00200197           0Q     0Q     0Q     1Q     9Q    41Q    85Q    56Q    16Q     1Q     0Q     0Q
USC00200220           0Q     0Q     0Q -7777Q    13Q   112Q   208Q   158Q    33Q -7777Q     0Q     0Q
USC00200228           0Q     0Q     0Q     2Q    24Q   127Q   200Q   156Q    46Q     7Q     0Q     0Q
USC00200230           0S -7777S -7777S     7S    41S   153S   242S   202C    78S     8S -7777S     0S
USC00200342           0Q     0Q     0Q -7777Q    11Q    56Q   101Q    63Q    16Q     5Q -7777Q     0Q
USC00200343           0R -7777R -7777R     5R    15R    70R   123R    80R    29R     1R     0R     0R
USC00200361           0Q     0Q     0Q -7777Q    20Q   109Q   163Q   116Q    32Q     9Q     0Q     0Q
USC00200417           0S -7777S -7777S     3S    21S    92S   160S   123S    40S     5S -7777S     0S
USC00200446           0R     0R -7777R     4R    22R    92R   166R   119R    31R     2R -7777R     0R
USC00200718           0C     0C     0S     1C     8S    40S    76C    54C    16C -7777S -7777C     0C
USC00200758           0Q     0Q     0Q     1Q    15Q    72Q   147Q   117Q    40Q     8Q     0Q     0Q
USC00200770           0R     0R -7777R     2R    14R    48R   102R    89R    30R     1R -7777R     0R
USC00200779           0S     0C -7777C     1S    19S    82S   152C   100S    25C     2S -7777C     0S
USC00200842           0Q     0Q -7777Q     4Q    26Q   135Q   206Q   157Q    47Q     7Q -7777Q     0Q
USC00200864           0R -7777R -7777R     6R    29R   110R   176R   147R    51R     6R -7777R     0R
USC00200925           0C     0C -7777C     6C    29C   103C   178C   144C    56C     8C -7777C     0C
USC00201052           0Q     0Q     0Q     2Q    19Q   103Q   156Q   119Q    40Q     5Q -7777Q     0Q
USC00201150           0Q     0Q     0Q -7777Q    22Q   117Q   183Q   132Q    33Q     7Q -7777Q     0Q
USC00201238           0Q     0Q     0Q -7777Q    17Q    95Q   153Q   116Q    31Q     7Q -7777Q     0Q
USC00201250           0Q     0Q     0Q -7777Q     7Q   108Q   211Q   151Q    34Q -7777Q     0Q     0Q
USC00201299           0S -7777S -7777S     3S    25S   106R   183R   127R    43S     4S -7777S     0S
USC00201343           0Q     0Q     0Q -7777Q    22Q   101Q   176Q   116Q    29Q     5Q     0Q     0Q
USC00201361           0R -7777R -7777R     2R    23R    97R   137R   101R    30R     6R -7777R     0R
USC00201435           0Q     0Q     0Q -7777Q     4Q    28Q    47Q    32Q    10Q -7777Q     0Q     0Q
USC00201439           0S     0R -7777R     1R     5S    26S    58R    42S    11S     1R     0S     0S
USC00201468           0R     0R     0R -7777R    11R    80R   180R   150R    60R     6R -7777R     0R
USC00201476           0C -7777C -7777C     4S    29S   114C   184S   139S    46S     4S -7777S     0S
USC00201486           0R     0R     0R     1R     9R    45R    89R    70R    17R     1R     0R     0R
USC00201492           0S     0S     0R -7777S     4S    47S   120S    92S    28S     2S     0S     0S
USC00201502           0Q     0Q -7777Q     4Q    27Q   124Q   196Q   149Q    41Q     6Q -7777Q     0Q
USC00201675           0S     0S -7777S     5S    33S   130S   198S   153S    54S     6S -7777S     0S
USC00201780           0R     0R     0R -7777R     3R    16R    73R    81R    23R     1R     0R     0R
USC00201802           0R     0R     0R -7777R     7R    53R   116R    85R    21R     1R     0R     0R
USC00201818           0Q     0Q     0Q     1Q    22Q   109Q   175Q   114Q    33Q     8Q -7777Q     0Q
USC00201896           0S     0S -7777S     1S     6S    39S    90S    75S    25S     2S     0S     0S
USC00202015           0S -7777C     1S     6S    42S   161S   262S   227S    89S     9S -7777S     0S
USC00202016           0Q     0Q -7777Q     1Q    23Q   159Q   255Q   213Q    70Q     8Q     0Q     0Q
USC00202094           0C     0C     0C -7777C     2C    31C    96C    83C    18S     1C     0C     0C
USC00202250           0S -7777S -7777S     6S    34S   123S   191S   146S    52S     5S -7777S     0S
USC00202308           0Q     0Q -7777Q     5Q    35Q   169Q   253Q   195Q    66Q     9Q -7777Q     0Q
USC00202328           0Q     0Q     0Q     1Q    31Q   133Q   202Q   154Q    43Q     7Q     0Q     0Q
USC00202381           0C     0C -7777C     3C    21C    81C   139C   106C    37C     4C -7777C     0C
USC00202395           0C -7777S     1C     6S    39S   142S   219S   183S    68R     8S -7777S     0S
USC00202423           0S     0S -7777S     1S    13S    73S   142S   112S    33S     3C     0C     0C
USC00202427           0Q     0Q     0Q -7777Q    26Q   156Q   259Q   204Q    60Q     9Q     0Q     0Q
USC00202445           0C -7777C     1C    10C    58S   190S   288C   242C   101C    13C -7777C     0S
USC00202503           0Q     0Q     0Q     0Q     6Q    43Q   103Q    69Q    10Q -7777Q     0Q     0Q
USC00202631           0C -7777S -7777S     6S    37S   138S   224S   177S    59S     7S -7777S     0S
USC00202691           0Q     0Q     0Q -7777Q    19Q   118Q   208Q   162Q    37Q     5Q -7777Q     0Q
USC00202737           0R     0R     0R     0R     1R    33R    99R    96R    21R -7777R     0R     0R
USC00202788           0Q     0Q -7777Q -7777Q    18Q    91Q   152Q   117Q    34Q     7Q     0Q     0Q
USC00202804           0R     0R     0R     1R    19R    79R   117R    94R    35R     7R -7777R     0R
USC00202851           0Q     0Q     0Q -7777Q    20Q   113Q   189Q   145Q    37Q     5Q     0Q     0Q
USC00202955           0Q     0Q     0Q -7777Q    14Q    86Q   153Q   111Q    32Q     1Q     0Q     0Q
USC00202984           0S     0S     0S     2C    10S    59C   126S   110S    35C     3C     0C     0S
USC00203025           0Q     0Q     0Q -7777Q    11Q    73Q   144Q   113Q    35Q -7777Q     0Q     0Q
USC00203096           0S     0S -7777S     2S    15S    69S   127S    82S    25S     2C     0S     0S
USC00203099           0R     0R     0R     1R    12R    58R   101R    68R    17R     4R     0R     0R
USC00203188           0Q     0Q     0Q     0Q     4Q    49Q    93Q    57Q    11Q     2Q     0Q     0Q
USC00203278           0Q     0Q     0Q -7777Q    25Q   115Q   175Q   141Q    48Q     9Q -7777Q     0Q
USC00203290           0R     0R     0R     4R    24R   112R   206R   179R    65R     3R -7777R     0R
USC00203295           0Q     0Q     0Q     0Q     8Q    66Q   154Q   115Q    26Q -7777Q     0Q     0Q
USC00203391           0C     0C -7777C     3S    15C    63C   110C    76C    21C     2C -7777C     0C
USC00203429           0R -7777R -7777R     4R    24R   103R   172R   138R    45R     4R -7777R     0R
USC00203477           0S     0S -7777S     4S    27S   125S   225S   184S    61S     5S     0S     0S
USC00203504           0S -7777S -7777S     8S    50S   171S   262S   220S    85R     8S -7777S     0S
USC00203529           0S     0C -7777S     2S    11S    69S   128S    92C    26C     2S     0S     0C
USC00203585           0S     0S -7777S     2S    11S    54S   119S    96S    29S     3S -7777S     0S
USC00203628           0R     0R     0R -7777R     4R    37R   112R    88R    24R     2R     0R     0R
USC00203632           0S     0S -7777S     2S    17S    76S   140R   113S    36S     3S -7777S     0S
USC00203661           0C -7777C -7777C     5S    27C   110C   179S   143S    48S     4C -7777C     0S
USC00203712           0Q     0Q     0Q     3Q    28Q   111Q   184Q   155Q    48Q     4Q     0Q     0Q
USC00203744           0S     0S     0S     1S    11S    41S    77R    52R    12R     1R -7777S     0S
USC00203769           0S     0S     0S     3R    18S    82S   149S   119S    35S     3S     0S     0S
USC00203823           0S -7777S -7777S     5R    29S   121S   194R   143S    51S     5S -7777R     0S
USC00203858           0S     0S -7777R     8S    39R   140R   235S   195R    70S     6S -7777S     0S
USC00203913           0Q     0Q     0Q -7777Q    25Q    99Q   190Q   121Q    21Q     4Q     0Q     0Q
USC00203930           0R     0R     0R     1R    14R    63R   110R    80R    23R     5R     0R     0R
USC00203932           0C     0C -7777R     2C    14C    63C   113C    74C    18C     2C -7777C     0C
USC00203947           0Q     0Q     0Q     1Q    33Q   151Q   208Q   171Q    56Q     7Q -7777Q     0Q
USC00204078           0S -7777S -7777S     4S    30S   119S   189S   145S    46S     4S -7777S     0S
USC00204090           0S     0S     0S     1S    15S    71S   132S   100S    25S     1S     0S     0S
USC00204104           0C     0C     0C     1C    11C    51C    96C    67C    20C     1C     0S     0C
USC00204130           0Q     0Q     0Q -7777Q    12Q    51Q    89Q    61Q    18Q -7777Q     0Q     0Q
USC00204257           0R     0R -7777R     1R    17R    63R   103R    71R    19R     2R     0R     0R
USC00204258           0Q     0Q     0Q -7777Q     9Q    53Q    91Q    58Q    13Q     2Q     0Q     0Q
USC00204399           0Q     0Q -7777Q -7777Q    20Q    85Q   153Q   114Q    39Q     7Q     0Q     0Q
USC00204502           0C     0C -7777C     2C    11C    63C   113C    77C    19C     2S     0C     0C
USC00204655           0S -7777S -7777S     4S    28S   108S   186S   138S    42S     5S -7777S     0S
USC00204659           0Q     0Q     0Q     1Q    22Q   116Q   196Q   144Q    44Q     5Q -7777Q     0Q
USC00204793           0Q     0Q -7777Q     1Q    28Q   116Q   177Q   137Q    39Q     7Q     0Q     0Q
USC00204808           0Q     0Q     0Q     1Q    13Q    81Q   157Q   128Q    39Q     6Q -7777Q     0Q
USC00204954           0S     0S     0S     3S    16S    78S   153S   125S    42R     3S     0S     0S
USC00204967           0R     0R -7777R     2S    12S    57S   101S    69S    18S     2S -7777S     0R
USC00205050           0Q     0Q     0Q     1Q    25Q   120Q   199Q   152Q    40Q     7Q     0Q     0Q
USC00205065           0S     0S -7777S     3S    22S    87S   168S   139S    51S     6S -7777S     0S
USC00205073           0C     0C     0C     0S     1C    13S    57C    57C    12S -7777S     0C     0S
USC00205097           0S     0C -7777S     5S    23S    92R   168R   134R    51R     7R -7777S     0S
USC00205168           0Q     0Q     0Q -7777Q     9Q    83Q   149Q   104Q    23Q     4Q     0Q     0Q
USC00205434           0S -7777S -7777S     4S    30S   129S   221S   165S    56S     5S -7777S     0S
USC00205450           0R     0R -7777R     6R    34R   131R   204R   159R    55R     6R -7777R     0R
USC00205451           0Q     0Q     0Q     3Q    30Q   155Q   228Q   175Q    50Q     8Q -7777Q     0Q
USC00205452           0S -7777S -7777C     3S    27R   110S   181S   143S    47S     4S -7777S     0S
USC00205531           0R     0R -7777R     3R    17R    79R   147R   104R    29R     2R -7777R     0R
USC00205533           0Q     0Q     0Q -7777Q    11Q    67Q   119Q    87Q    19Q     2Q     0Q     0Q
USC00205558           0R     0R -7777R     7R    45R   176R   282R   226R    77R     6R -7777R     0R
USC00205563           0Q     0Q -7777Q     2Q    33Q   172Q   266Q   208Q    63Q     9Q -7777Q     0Q
USC00205567           0C     0S -7777S     2C    14S    72S   144S   122S    42S     4S     0S     0S
USC00205591           0Q     0Q     0Q     0Q     2Q    24Q    64Q    51Q    10Q     1Q     0Q     0Q
USC00205603           0Q     0Q -7777Q     3Q    30Q   151Q   226Q   173Q    48Q     6Q -7777Q     0Q
USC00205662           0R -7777S -7777R     3R    24R   116R   197R   138R    41R     3R -7777R     0R
USC00205690           0S     0S     0R     1S     7S    38S    82S    67S    19S     1S     0S     0S
USC00205810           0Q     0Q     0Q     0Q     3Q    13Q    42Q    34Q     7Q     0Q     0Q     0Q
USC00205816           0R     0R     0R -7777R     2R    29R    71R    54R    15R -7777R     0R     0R
USC00205822           0Q     0Q     0Q     1Q    21Q   155Q   241Q   202Q    63Q     7Q -7777Q     0Q
USC00206007           0Q     0Q     0Q     1Q     6Q    43Q   104Q    88Q    28Q     5Q     0Q     0Q
USC00206012           0R     0R     0R     1R    19R    91R   167R   130R    43R     6R     0R     0R
USC00206158           0R     0S -7777S     3S    14R    72S   144S   118S    40S     3S     0R     0R
USC00206184           0S     0C -7777S     4C    17C    77C   148C   114S    38C     4S -7777S     0S
USC00206220           0S     0C -7777S     2C    18C    60C   118C    97S    35S     3C -7777C     0C
USC00206300           0S -7777S -7777S     4S    30S   118S   190S   150S    55S     6S -7777S     0S
USC00206442           0Q     0Q     0Q     1Q    10Q    54Q    86Q    64Q    19Q     3Q -7777Q     0Q
USC00206507           0C     0C -7777C     1S     5C    46S   108C    92C    32S     3C     0C     0S
USC00206510           0Q     0Q     0Q -7777Q    11Q    43Q    91Q    76Q    18Q -7777Q     0Q     0Q
USC00206583           0Q     0Q     0Q     0Q     5Q    38Q    83Q    63Q    14Q -7777Q     0Q     0Q
USC00206587           0Q     0Q -7777Q     1Q    19Q   102Q   180Q   112Q    26Q     5Q     0Q     0Q
USC00206658           0R     0R -7777R     3R    29R   121R   217R   159R    63R     4R -7777R     0R
USC00206662           0Q     0Q     0Q -7777Q    15Q    78Q   155Q   118Q    34Q     7Q -7777Q     0Q
USC00206663           0R     0R     0R -7777R    10R    55R   124R   117R    36R     5R -7777R     0R
USC00206680           0R     0S -7777S     3S    27S   119S   233S   194S    70S     7S -7777S     0S
USC00206982           0Q     0Q     0Q     1Q    21Q   109Q   200Q   138Q    35Q     6Q     0Q     0Q
USC00207094           0S     0S -7777S     1S     8S    61S   128S   103S    36S     3S     0S     0S
USC00207190           0S     0S     0S     1S     6S    40S    82R    64S    14S -7777S     0S     0S
USC00207222           0Q     0Q -7777Q     1Q    29Q   129Q   218Q   162Q    52Q     7Q     0Q     0Q
USC00207225           0Q     0Q     0Q     0Q    16Q    86Q   190Q   129Q    29Q -7777Q     0Q     0Q
USC00207253           0R     0R -7777R     4R    23R    92R   162R   122R    37R     2R -7777R     0R
USC00207274           0S     0S     0S     0S     1S    27S    92S    94S    26S     1S     0S     0S
USC00207277           0R     0S     0R -7777R     3S    34R    95R    94R    26R     2S     0R     0S
USC00207280           0S -7777S -7777S     4S    33S   128S   204S   159S    58S     7S -7777S     0S
USC00207308           0Q     0Q -7777Q     3Q    23Q   139Q   210Q   167Q    41Q     6Q     0Q     0Q
USC00207312           0Q     0Q -7777Q     2Q    23Q   135Q   209Q   165Q    53Q     8Q     0Q     0Q
USC00207320           0Q     0Q -7777Q     1Q    21Q   146Q   222Q   162Q    47Q     7Q -7777Q     0Q
USC00207350           0R     0S -7777R     2R    24R   106R   181R   130R    43R     4R -7777R     0R
