,COUNTY,NAME,ST,Num_household,Household_size,Age25_over,Num_pov_det,Num_in_pov,Median_hhinc,Incpc,median_rent_value,median_home_value,state,county,Pop_under18,Pop_over25,Pop_over65,High_school_orless,College_ormore,unemp_rate,Pov_rate,Share_highschool_orless,Share_college_ormore,aqi_good_2013,aqi_bad_2013,aqi_good_2014,aqi_bad_2014,aqi_good_2015,aqi_bad_2015,aqi_good_2016,aqi_bad_2016,aqi_good_2017,aqi_bad_2017,Unnamed: 0,crime_rate_2010,crime_rate_2011,crime_rate_2012,crime_rate_2013,crime_rate_2014,Latitude,Longitude,aqi_good,aqi_bad,crime_rate,Apr_avg_temp,Apr_max_temp,Apr_min_temp,Apr_prcp,Apr_snow,Aug_avg_temp,Aug_max_temp,Aug_min_temp,Aug_prcp,Aug_snow,Dec_avg_temp,Dec_max_temp,Dec_min_temp,Dec_prcp,Dec_snow,Feb_avg_temp,Feb_max_temp,Feb_min_temp,Feb_prcp,Feb_snow,Jan_avg_temp,Jan_max_temp,Jan_min_temp,Jan_prcp,Jan_snow,Jul_avg_temp,Jul_max_temp,Jul_min_temp,Jul_prcp,Jul_snow,Jun_avg_temp,Jun_max_temp,Jun_min_temp,Jun_prcp,Jun_snow,Mar_avg_temp,Mar_max_temp,Mar_min_temp,Mar_prcp,Mar_snow,May_avg_temp,May_max_temp,May_min_temp,May_prcp,May_snow,Nov_avg_temp,Nov_max_temp,Nov_min_temp,Nov_prcp,Nov_snow,Oct_avg_temp,Oct_max_temp,Oct_min_temp,Oct_prcp,Oct_snow,Sep_avg_temp,Sep_max_temp,Sep_min_temp,Sep_prcp,Sep_snow,winter_avg_temp,summer_avg_temp,annual_avg_temp,Region,State_name,Population,Hispanic_Latino,White,Black,Asian,Hispanic_Latino_share,White_share,Black_share,Asian_share,Share_over65,Share_under18,airport,dist_airport
163,133,"Sevier County, Arkansas",5,719,6075,10662,17005,3755,36579,17371,353,68200,5,133,5038,10662,2320,7002,846,0.093794167,0.220817407,0.656724817,0.079347214,0.796610169,0,0.844444444,0,0.867036011,0,0.868852459,0,0.885185185,0,178,0.023566655,0.018909641,0.025462296,0.025408454,0.023094158,33.994608,94.24329,0.852425654,0,0.023288241,60.6,73.8,47.5,4.75,0,81.2,93.2,69.1,2.37,0,42.9,54.5,31.4,5.17,0.3,45,57.6,32.4,3.86,0.9,41,53.1,29,3.73,1.3,80.8,91.8,69.7,3.5,0,76.8,87.6,65.9,4.72,0,52.7,65.7,39.8,5.16,0.1,69.2,80.5,57.9,6.2,0,52.1,64.3,39.9,4.92,0,62.6,75.6,49.7,5.33,0,73.8,86.1,61.5,3.9,0,42.96666667,79.6,61.55833333,SOUTHEAST,Arkansas,17058,5220,10416,717,62,0.306014773,0.610622582,0.042033064,0.003634658,0.136006566,0.295345293,Texarkana Regional Webb Field,64.39162213
164,135,"Sharp County, Arkansas",5,1154,7108,12274,16701,3944,30691,16848,409,74800,5,135,3599,12274,4267,7698,1209,0.082589648,0.236153524,0.627179404,0.098500896,0.754385965,0,0.714285714,0,0.806722689,0,0.817391304,0,0.901098901,0,179,0.025549545,0.037414161,0.028167354,0.024703318,0.020986612,36.173399,91.471069,0.798776915,0,0.027364198,58.4,71.3,45.4,4.43,,80,92.3,67.6,3.42,,39,50,27.9,5.17,,39.8,52.5,27.1,4.45,,36.3,48.2,24.3,3.43,,80.7,92.5,68.8,3.93,,76,88,63.9,3.04,,49.9,62.1,37.7,4.47,,67.7,79.6,55.8,4.41,,50.3,61.5,39.1,4.97,,61.4,74.3,48.4,4.08,,71.7,84.8,58.6,3.99,,38.36666667,78.9,59.26666667,SOUTHEAST,Arkansas,17264,290,16399,91,49,0.016797961,0.949895737,0.005271084,0.002838276,0.247161724,0.208468489,Jonesboro Municipal Airport,83.46125351
165,137,"Stone County, Arkansas",5,515,5142,9015,12385,3042,29264,18944,299,92700,5,137,2624,9015,3066,5076,1429,0.071163501,0.245619701,0.563061564,0.158513588,0.754385965,0,0.714285714,0,0.806722689,0,0.817391304,0,0.901098901,0,180,0.016056156,0.018017297,0.018891787,0.029967836,0.023552736,35.856989,92.140494,0.798776915,0,0.021297162,59.1,71.8,46.5,4.97,0,78.9,91.2,66.6,3.84,0,39.2,49.9,28.5,4.61,1.1,41.3,52.7,29.8,3.23,1,37,47.8,26.1,3.47,1.4,79.8,91.2,68.3,3.43,0,75.3,86.7,63.9,3.97,0,49.9,62,37.7,4.51,0.6,67.1,78.5,55.6,4.99,0,50,61.6,38.4,5.15,0,60,73.1,46.9,4.5,0,70.9,83.7,58.1,4.06,0,39.16666667,78,59.04166667,SOUTHEAST,Arkansas,12394,157,11912,11,45,0.01266742,0.961110215,0.000887526,0.003630789,0.247377763,0.211715346,Ozark Regional Airport,64.10368037
166,139,"Union County, Arkansas",5,1878,16536,27648,40041,8172,38678,21779,408,74600,5,139,9682,27648,6653,15006,4845,0.092995979,0.204090807,0.542751736,0.175238715,0.904761905,0,0.917808219,0,0.931506849,0,0.931693989,0,0.728937729,0,181,0.042716347,0.045888958,0.041085545,0.041253573,0.036873083,33.168219,92.598145,0.882941738,0,0.041563501,62,75.1,48.9,4.14,0,80.6,92.4,68.9,2.85,0,44,55.7,32.3,5.37,0,46.1,58.3,33.9,4.45,0.3,42,53.8,30.3,3.95,0.4,81.1,92.2,70.1,3.36,0,77.5,88.5,66.5,4.59,0,53.8,66.7,40.8,4.43,0.1,70.5,82.2,58.7,4.57,0,52.5,65.3,39.8,4.46,0,62.5,75.8,49.2,4.43,0,73.7,86.5,61,3.2,0,44.03333333,79.73333333,62.19166667,SOUTHEAST,Arkansas,41639,1460,25722,13674,196,0.035063282,0.617738178,0.328394054,0.004707126,0.159778093,0.232522395,South Arkansas Regional At Goodwin Field,20.89922967
167,141,"Van Buren County, Arkansas",5,1033,6879,12440,16737,3574,32312,19047,419,89900,5,141,3393,12440,4114,7560,1527,0.102690289,0.213538866,0.607717042,0.122749196,0.873972603,0,0.920547945,0,0.934246575,0,0.956284153,0,0.95970696,0,182,0.021335646,0.020658786,0.021226965,0.025075226,0.026863188,35.582959,92.515977,0.928951647,0,0.023031962,57.2,69.6,44.7,4.38,0,77.1,88.9,65.3,2.47,0,38.6,49,28.2,3.74,0.6,40.1,51,29.3,3.13,1.2,36,46.6,25.4,3.08,1.8,78,89,67,3.03,0,73.2,84.3,62.2,3.53,0,48.1,59.9,36.2,4.54,1.5,64.6,75.7,53.4,4.58,0,49.4,60.4,38.4,4.59,0,58.7,70.9,46.4,3.86,0,69.1,81.2,56.9,4.05,0,38.23333333,76.1,57.50833333,SOUTHEAST,Arkansas,17295,475,16282,65,56,0.027464585,0.941428158,0.003758312,0.00323793,0.237872217,0.196183868,Little Rock Air Force Base,81.06661897
168,143,"Washington County, Arkansas",5,5599,81722,129651,208522,41846,43524,24638,561,151900,5,143,54576,129651,22579,57498,39505,0.057678996,0.200679065,0.443482889,0.304702625,0.78630137,0,0.865753425,0,0.898630137,0,0.923497268,0,0.673992674,0,183,0.032762908,0.036903329,0.036436256,0.035435016,0.036171957,35.971209,94.218417,0.829634975,0,0.035541893,56.8,69,44.7,4.57,0,77.1,89.1,65.1,3.24,0,37.5,48,26.9,3.24,1.5,39.7,51.1,28.3,2.81,1.6,35.6,46.4,24.8,2.84,2.3,77.6,88.6,66.6,3.46,0,72.9,83.6,62.2,4.98,0,48.1,60.1,36.2,3.95,1.4,65.1,76.1,54,6.04,0,47.4,58.8,36.1,4.23,0.2,57.7,70,45.5,4.33,0,68.5,80.5,56.6,4.82,0,37.6,75.86666667,57,SOUTHEAST,Arkansas,203065,31458,150546,5828,4372,0.154915914,0.741368527,0.02870017,0.021530052,0.111190998,0.268761234,Drake Field,5.755486464
169,145,"White County, Arkansas",5,2696,29404,50205,74765,14175,42554,22547,461,108800,5,145,18641,50205,11716,27275,9781,0.070513009,0.189594061,0.543272582,0.194821233,0.754385965,0,0.714285714,0,0.806722689,0,0.817391304,0,0.901098901,0,184,0.036469434,0.03670201,0.0346146,0.03483885,0.031231154,35.254722,91.753158,0.798776915,0,0.03477121,60.4,72.7,48,4.96,0,80.5,92.4,68.6,2.69,0,40.2,50.6,29.9,5.04,0.2,42.2,53.8,30.6,3.67,1,38,48.9,27.2,3.57,1,81.3,92.6,70.1,3.73,0,77.7,88.9,66.5,2.89,0,51.4,63.3,39.4,4.78,0,69.7,81.1,58.2,5.52,0,50.3,61.8,38.8,5.15,0,61,73.9,48.2,4.7,0,72.7,85.1,60.3,3.35,0,40.13333333,79.83333333,60.45,SOUTHEAST,Arkansas,77076,2879,69026,3033,411,0.037352743,0.895557631,0.039350771,0.005332399,0.152005812,0.241852198,Little Rock Air Force Base,52.07988753
170,147,"Woodruff County, Arkansas",5,554,2911,4924,6863,1612,28993,18377,301,60000,5,147,1531,4924,1411,3496,512,0.110658771,0.234882704,0.709991877,0.103980504,0.754385965,0,0.714285714,0,0.806722689,0,0.817391304,0,0.901098901,0,185,0.00509165,0.00353714,0.018829517,0.035583464,0.022500712,35.189071,91.244418,0.798776915,0,0.017108496,61.1,73.5,48.7,,,80.9,91.9,69.8,,,40.6,50.6,30.6,,,43.3,54.2,32.4,,,36.7,47.2,26.1,,,81.8,92,71.6,,,78.5,88.6,68.3,,,51.8,62.7,40.8,,,69.7,81,58.3,,,51.7,62.4,40.9,,,61.4,74.3,48.5,,,72.9,84.8,61,,,40.2,80.4,60.86666667,SOUTHEAST,Arkansas,7260,87,5041,1989,15,0.011983471,0.694352617,0.273966942,0.002066116,0.194352617,0.210881543,Jonesboro Municipal Airport,89.59188666
171,149,"Yell County, Arkansas",5,975,7687,14578,21510,4009,37804,18288,388,94900,5,149,5495,14578,3573,9448,1838,0.081599303,0.186378429,0.648099877,0.126080395,0.766666667,0,0.760330579,0,0.808333333,0,0.81512605,0,0.877777778,0,186,0.014288934,0.02321836,0.023572977,0.027333459,0.024627379,34.997713,93.408303,0.805646881,0,0.022608222,60.1,72.9,47.2,4.71,0,80.1,92.3,68,3,0,40.7,51.3,30,5.22,0.5,42.8,54.7,31,3.89,1.1,38.7,49.6,27.8,3.57,1.3,80.6,91.9,69.4,3.76,0,76.3,87.3,65.3,4.38,0,50.9,63.7,38.2,4.93,0.5,68.3,79.6,57,5.93,0,50.5,62.4,38.6,5.4,0,61.1,73.5,48.6,5.17,0,72.3,84.3,60.3,4.21,0,40.73333333,79,60.2,SOUTHEAST,Arkansas,22185,4230,17020,288,278,0.190669371,0.767185035,0.012981744,0.012530989,0.161054767,0.247689881,Memorial Field,64.35046114
172,1,"Alameda County, California",6,47190,558907,1092189,1557087,194639,75619,37285,1272,543100,6,1,343309,1092189,191933,344370,469143,0.079757634,0.125002007,0.315302571,0.429543788,0.517808219,0,0.673972603,0,0.58630137,0,0.653005464,0,0.625514403,0,187,0.040251716,0.041520236,0.047944966,0.045754418,0.042363549,37.648081,121.913304,0.611320412,0,0.043566977,56.6,68.6,44.7,1,,72.3,87.3,57.4,0.01,,47,56.2,37.7,2.68,,50.4,60.4,40.4,3.03,,46.7,56,37.4,3.01,,72.3,87.5,57.2,0,,67.6,81.1,54.1,0.04,,53.5,64.6,42.4,2.2,,62.3,75.3,49.4,0.62,,53.6,64.6,42.5,1.98,,63,76.4,49.5,0.92,,69.9,84.3,55.5,0.22,,48.03333333,70.73333333,59.6,WEST,California,1510271,339889,514559,184126,390524,0.225051663,0.340706403,0.121915868,0.258578758,0.127085139,0.227316157,Moffett Federal Airfield,28.40353729
173,3,"Alpine County, California",6,325,358,764,1115,195,52917,21415,755,295000,6,3,251,764,224,314,210,0.109131403,0.174887892,0.410994764,0.27486911,0.736462094,0.02166065,0.813186813,0,0.777070064,0,0.892857143,0,0.911764706,0,188,0.074042553,0.094196804,0.045863309,0.034790366,0.024013722,38.61761,119.798999,0.826268164,0.00433213,0.054581351,35.5,48.6,22.3,3.41,32.5,57.3,72.7,42,0.62,0,28.4,40.1,16.7,7.48,65.7,28,39.7,16.4,7.84,61.8,28.7,40,17.4,7.08,73.5,58,73.8,42.3,0.44,0,51.3,65.7,37,0.97,1.8,31.2,43.9,18.5,6.32,72.4,43.2,57.3,29,2.72,7,33.8,45.9,21.7,6.04,47.1,42.6,56.6,28.6,2.93,10.8,51.8,67.1,36.6,1.16,2.4,28.36666667,55.53333333,40.81666667,WEST,California,1175,84,852,0,7,0.071489362,0.725106383,0,0.005957447,0.190638298,0.213617021,Lake Tahoe Airport,35.08534859
174,5,"Amador County, California",6,1316,13925,28676,32867,4191,54171,27473,893,251000,6,5,5737,28676,8657,11085,6095,0.133030409,0.12751392,0.38656019,0.212547078,0.824657534,0,0.732590529,0,0.777472527,0,0.830601093,0,1,0,189,0.024940275,0.027764083,0.024200496,0.02438627,0.019508174,38.44355,120.653856,0.833064337,0,0.02415986,56.6,72.8,40.5,2.54,0.1,74.9,96.2,53.6,0.04,0,45.4,57.4,33.4,5.41,0,48.9,62.5,35.2,5.57,0,45.7,58.2,33.2,6.06,0,76.3,96.7,55.8,0.01,0,69.8,89.6,50,0.37,0,52.7,67,38.5,5.12,0.2,63.8,81.7,45.8,1.25,0,52.1,65.9,38.2,3.75,0,62,79.1,44.9,1.73,0,70.2,90.2,50.2,0.47,0,46.66666667,73.66666667,59.86666667,WEST,California,38091,4756,30325,938,396,0.124858891,0.796119818,0.02462524,0.010396157,0.227271534,0.150613006,Sacramento Mather Airport,57.51099106
175,7,"Butte County, California",6,7577,85318,143094,217509,47532,43444,24259,798,221700,6,7,45422,143094,36819,49588,37008,0.116641559,0.218528888,0.346541434,0.258627196,0.402739726,0,0.473972603,0,0.465753425,0,0.461748634,0,0.948186528,0,190,0.030463636,0.026735734,0.028532358,0.030836687,0.032647245,39.665959,121.601919,0.550480183,0,0.029843132,56.9,66.5,47.4,4.22,0,77.5,90.4,64.7,0.16,0,46.2,53.2,39.3,11.17,0,48.7,56.1,41.3,10.06,0.7,46.5,53.7,39.3,10.35,0,78.7,91.3,66.1,0.04,0,72.3,84.1,60.4,0.75,0,52.3,60.7,44,8.24,0.2,64.6,75.5,53.6,2.3,0,52.3,60,44.5,6.96,0,63.9,74.1,53.7,3,0,73,85.1,61,0.88,0,47.13333333,76.16666667,61.075,WEST,California,220000,31116,165416,3133,8921,0.141436364,0.751890909,0.014240909,0.04055,0.167359091,0.206463636,Beale Air Force Base,60.5174176
176,9,"Calaveras County, California",6,1679,18060,33649,44221,5590,53233,29553,841,243800,6,9,8190,33649,10867,12096,7018,0.117095243,0.126410529,0.359475765,0.20856489,0.824657534,0,0.732590529,0,0.777472527,0,0.830601093,0,1,0,191,0.020141296,0.027670556,0.027490653,0.027156836,0.024749585,38.187844,120.555115,0.833064337,0,0.025441785,56.6,72.8,40.5,2.54,0.1,74.9,96.2,53.6,0.04,0,45.4,57.4,33.4,5.41,0,48.9,62.5,35.2,5.57,0,45.7,58.2,33.2,6.06,0,76.3,96.7,55.8,0.01,0,69.8,89.6,50,0.37,0,52.7,67,38.5,5.12,0.2,63.8,81.7,45.8,1.25,0,52.1,65.9,38.2,3.75,0,62,79.1,44.9,1.73,0,70.2,90.2,50.2,0.47,0,46.66666667,73.66666667,59.86666667,WEST,California,45578,4703,38074,355,529,0.103185748,0.835359165,0.007788845,0.011606477,0.238426434,0.179691957,Modesto City Co-Harry Sham Field,71.57012445
177,11,"Colusa County, California",6,820,6966,13296,21182,3171,52168,21897,713,196000,6,11,6051,13296,2731,7116,1943,0.098943224,0.149702578,0.535198556,0.146134176,0.686813187,0,0.660273973,0,0.623626374,0,0.740437158,0,0.935897436,0,192,0.025538074,0.024964238,0.027633454,0.026972794,0.018180123,39.177739,122.237563,0.729409625,0,0.024657737,59.6,73,46.1,0.97,,74.8,91.8,57.8,0.05,,46.2,54.1,38.2,2.99,,50.9,60,41.7,3,,46.3,53.9,38.6,3.91,,76.4,93,59.9,0.01,,73.2,88.3,58.2,0.29,,55.3,66.1,44.4,2.47,,67.4,81.3,53.6,0.75,,52.9,63.7,42.1,2.13,,63.4,78.6,48.3,0.97,,71.4,88.6,54.2,0.3,,47.8,74.8,61.48333333,WEST,California,21419,11804,8524,168,267,0.551099491,0.397964424,0.007843503,0.012465568,0.127503618,0.282506186,Yuba County Airport,58.39444377
178,13,"Contra Costa County, California",6,27752,384646,742043,1086538,117915,80185,39313,1315,439900,6,13,260467,742043,150831,220806,293919,0.08515953,0.108523586,0.297564966,0.396094296,0.575342466,0,0.64109589,0,0.706849315,0,0.784153005,0,0.691358025,0,193,0.033370034,0.031941185,0.034546117,0.032392378,0.032296855,37.919479,121.951543,0.67975974,0,0.032909314,54,64.4,43.7,1.63,0,72.2,84.7,59.7,0.04,0,47.5,55.2,39.8,4.39,0.1,48.5,56.6,40.3,4.62,0.4,47.8,55.5,40,4.77,0.3,72.5,84.7,60.3,0.01,0,65.9,77.6,54.3,0.19,0,50.8,59.8,41.8,3.52,0.1,59.7,70.5,48.9,1.06,0,53.1,61.8,44.5,3.11,0,62.6,73.5,51.6,1.42,0,69.8,81.7,57.8,0.28,0,47.93333333,70.2,58.7,WEST,California,1049025,255560,500923,93604,148881,0.243616692,0.477512929,0.089229523,0.141923214,0.143782083,0.248294369,Metropolitan Oakland International Airport,32.3528095
179,15,"Del Norte County, California",6,928,9420,19572,23896,5207,40847,19560,670,183700,6,15,5897,19572,4120,9625,2954,0.114771187,0.217902578,0.491773963,0.1509299,0.976190476,0,0.973913043,0,0.929824561,0,0.991452991,0,1,0,194,0.029989514,0.031817868,0.029109767,0.027062449,0.02922381,41.749903,123.980998,0.974276215,0,0.029440681,48.4,56.9,39.9,6.27,,58,65.1,50.8,0.53,,44.1,52.7,35.5,15.72,,45.7,55,36.5,10.65,,44.6,53.4,35.8,12.18,,57.7,65,50.4,0.37,,55.5,63.4,47.6,2,,47,56,38.1,10.31,,52.3,60.7,44,3.94,,47.7,56.6,38.8,11.42,,52.8,62.6,42.9,5,,56.3,65.2,47.4,1.21,,44.8,57.06666667,50.84166667,WEST,California,28610,5093,18513,967,938,0.17801468,0.64708144,0.033799371,0.032785739,0.144005592,0.206116742,Jack Mc Namara Field Airport,21.5521165
180,17,"El Dorado County, California",6,6378,67086,128896,180411,18831,69584,35588,906,363000,6,17,38825,128896,31047,38049,41351,0.103087837,0.104378336,0.295191472,0.320809024,0.608219178,0,0.610958904,0,0.654794521,0,0.606557377,0,1,0,195,0.018032896,0.019013358,0.018590923,0.020275732,0.019393853,38.785532,120.534398,0.696105996,0,0.019061352,55.1,65.5,44.7,,,78.2,92.2,64.2,,,45,52.8,37.3,,,48.6,56.2,41,,,47.1,55,39.2,,,78.6,92.7,64.5,,,71,83.8,58.3,,,50.5,60.1,40.8,,,63,73.7,52.2,,,50.5,58.9,42.2,,,63.5,74.2,52.9,,,73.3,85.5,61,,,46.9,75.93333333,60.36666667,WEST,California,181058,21875,144689,1296,6143,0.120817639,0.799130665,0.007157927,0.033928354,0.171475439,0.214434049,Lake Tahoe Airport,48.35175689
181,19,"Fresno County, California",6,24116,296305,571585,939536,252187,45233,20408,752,194600,6,19,277818,571585,104115,281599,110846,0.127445461,0.268416538,0.492663383,0.193927412,0.145205479,0,0.202739726,0,0.164383562,0.002739726,0.25136612,0,0.351973684,0,196,0.047690902,0.049120342,0.049828782,0.043556305,0.038373141,36.761006,119.655019,0.223133714,0.000547945,0.045713895,61.8,74.9,48.6,1.02,,80.9,96.5,65.4,0.03,,47.2,56.5,38,2,,52.4,63,41.8,1.99,,46.8,55.7,37.9,2.27,,81.3,96.5,66.2,0.04,,76.3,91.6,61.1,0.22,,56.8,68.4,45.2,2.48,,69.4,83.6,55.2,0.56,,54.9,66.4,43.4,1.2,,66.3,79.9,52.7,0.66,,75.9,90.8,60.9,0.33,,48.8,79.5,64.16666667,WEST,California,930450,468070,304522,45005,86856,0.50305766,0.327284647,0.048369069,0.09334838,0.111897469,0.298584556,Fresno Yosemite International Airport,5.870349376
182,21,"Glenn County, California",6,1072,9497,17876,27568,5721,39349,21313,609,204400,6,21,7590,17876,3987,9750,2659,0.118145265,0.207523215,0.545424032,0.148746923,0.686813187,0,0.660273973,0,0.623626374,0,0.740437158,0,0.935897436,0,197,0.024287035,0.024847995,0.028532178,0.030898375,0.023240064,39.602546,122.4017,0.729409625,0,0.026361129,59.9,75.6,44.2,1.5,,76.4,94.5,58.2,0.12,,47.3,58.3,36.3,3.87,,51.3,63.4,39.3,4.05,,47.5,58.2,36.8,4.7,,77.8,95.5,60,0.04,,74,90.7,57.2,0.42,,55.2,68.8,41.7,3.21,,67.3,83.4,51.2,1.07,,54.4,67.3,41.5,2.84,,65.8,81.9,49.7,1.27,,73.5,91.2,55.8,0.44,,48.7,76.06666667,62.53333333,WEST,California,28122,10539,15717,192,674,0.374759974,0.558886281,0.006827395,0.023967001,0.141775123,0.269895456,Red Bluff Municipal Airport,62.19548926
183,23,"Humboldt County, California",6,5598,53036,90585,131639,28158,42197,23367,787,279300,6,23,26444,90585,19894,32070,25355,0.100514054,0.213903175,0.354032125,0.279902854,0.819178082,0,0.602739726,0,0.849315068,0,0.975409836,0,0.94972067,0,198,0.035937396,0.034146807,0.038518943,0.040448206,0.039019769,40.706673,123.925818,0.839272677,0,0.037614224,50.8,59.6,42.1,4.61,0,63,73.1,52.9,0.34,0,42.8,47.9,37.6,11.94,0.4,45.4,52.1,38.7,8.13,0.5,43.6,49.3,37.9,8.61,0.1,63.1,73.5,52.8,0.09,0,59.8,69.3,50.3,0.77,0,47.8,55.3,40.3,7.9,0.2,55.8,64.8,46.8,2.4,0,47.1,53.8,40.3,7.4,0,53.9,63.2,44.6,3.06,0,60.2,71,49.5,0.69,0,43.93333333,61.96666667,52.775,WEST,California,134623,13211,103958,1393,2854,0.098133306,0.772215743,0.010347415,0.021199944,0.14777564,0.196430031,Murray Field,19.11104446
184,25,"Imperial County, California",6,3969,46452,107251,167281,40114,41079,16143,632,151600,6,25,51022,107251,20716,59537,15102,0.169736008,0.239800097,0.555118367,0.140809876,0.416438356,0.002739726,0.126027397,0.005479452,0.238356164,0,0.286885246,0.00273224,0.416666667,0,199,0.036613036,0.036472651,0.039533441,0.036581633,0.035769193,33.040816,115.355395,0.296874766,0.002190284,0.036993991,69.9,86.3,53.5,0.05,0,91.6,106.6,76.6,0.21,0,54.9,69.6,40.3,0.48,0,59.1,74.1,44.1,0.53,0,55.8,70.8,40.8,0.48,0,91.3,107.2,75.4,0.08,0,85,103,66.9,0,0,64.3,79.9,48.7,0.33,0,77.4,94.7,60,0.02,0,63.2,79,47.5,0.19,0,75.2,91.3,59,0.25,0,86.2,102.3,70,0.16,0,56.6,89.3,72.825,WEST,California,174528,140271,23927,5114,2201,0.803716309,0.13709548,0.029301889,0.012611157,0.118697286,0.292342776,Imperial County Airport,31.02180311
185,27,"Inyo County, California",6,1322,7957,13236,17762,2019,45955,27850,719,240100,6,27,3827,13236,3849,5725,3157,0.065393849,0.113669632,0.432532487,0.238516168,0.632876712,0.005479452,0.638356164,0.002739726,0.556164384,0,0.666666667,0.00273224,0.56187291,0,200,0.016930875,0.017853336,0.021877849,0.020693754,0.022044952,36.561977,117.403927,0.611187367,0.002190284,0.019880153,76,87.8,64.1,0.27,,99.4,112,86.7,0.33,,50.7,60.9,40.5,0.41,,58.6,69.1,48,0.67,,52.9,63.9,41.9,0.37,,101.6,114.1,89,0.21,,95.1,107.9,82.3,0.08,,67.8,78.5,57,0.67,,86,97.9,74.1,0.15,,61.9,72.5,51.3,0.35,,77,88.9,65,0.13,,90.6,102.8,78.4,0.24,,54.06666667,98.7,76.46666667,WEST,California,18546,3597,12296,102,229,0.193950178,0.663000108,0.005499838,0.012347676,0.207538014,0.206351774,China Lake Naws (Armitage Field) Airport,100.6637492
186,29,"Kern County, California",6,19310,259700,513437,834229,195744,49026,20644,741,167400,6,29,255909,513437,83351,276412,79055,0.120847958,0.234640608,0.538356215,0.153972152,0.095890411,0.002739726,0.087671233,0,0.120547945,0.002739726,0.191256831,0,0.482758621,0,201,0.042195917,0.040633218,0.046226885,0.044479136,0.037441262,35.346629,118.729506,0.195625008,0.00109589,0.042195284,61.3,74.8,47.7,0.61,,81,95.7,66.2,0.05,,46.5,57.2,35.7,1.07,,51.6,63.2,40,1.47,,47.1,57.1,37.1,1.48,,81.9,96.7,67,0.03,,76.4,91.6,61.1,0.09,,56,68.5,43.5,1.44,,68.6,82.8,54.3,0.31,,54.5,66.1,42.8,0.89,,66.6,80.2,53,0.41,,75.8,90.4,61.2,0.18,,48.4,79.76666667,63.94166667,WEST,California,839631,413033,323794,45377,33100,0.491922047,0.385638453,0.054043979,0.039422079,0.099270989,0.30478746,Meadows Field,31.27925456
187,31,"Kings County, California",6,3406,41554,92122,132265,29900,46481,18707,734,169500,6,31,41626,92122,13218,48465,12338,0.124644409,0.226061316,0.526095829,0.133931091,0.208219178,0,0.232876712,0,0.246575342,0,0.232240437,0,0.328947368,0,202,0.022806605,0.025700995,0.027108531,0.029407098,0.027542807,36.072478,119.81553,0.249771808,0,0.026513207,61.9,75.9,47.8,0.71,,81,96.5,65.4,0.03,,46.2,56.7,35.6,1.1,,51.5,63.2,39.7,1.4,,46,55.7,36.3,2.03,,82.3,97.4,67.2,0.01,,76.6,91.8,61.4,0.09,,56.4,68.7,44,1.74,,70.2,84.9,55.4,0.39,,53.5,66.3,40.6,0.68,,66.1,80.7,51.6,0.21,,75.8,91.3,60.2,0.23,,47.9,79.96666667,63.95833333,WEST,California,152982,77866,53879,10314,5339,0.508987986,0.352191761,0.067419696,0.034899531,0.086402322,0.272097371,Lemoore Naval Air Station (Reeves Field) Airport,31.4056345
188,33,"Lake County, California",6,2133,26993,46120,63264,15597,35578,21407,718,164300,6,33,13120,46120,12683,20270,7360,0.138506466,0.246538316,0.439505637,0.159583695,0.975274725,0,0.93837535,0,0.966942149,0,0.980821918,0,0.994382022,0,203,0.033279208,0.031578143,0.035444169,0.034301743,0.033427098,39.094802,122.746757,0.971159233,0,0.033606072,53.2,67.2,39.2,1.73,0,71.8,90.4,53.3,0.1,0,43.3,54.9,31.7,5.95,0,45.9,58,33.7,5.91,0.2,43.6,55.3,31.8,6.45,0.2,73.2,91.6,54.8,0.02,0,67.5,83.8,51.3,0.22,0,49.1,62.3,36,4.53,0,60.1,75.2,45,1.13,0,48.8,62.2,35.3,3.51,0,58.4,74.7,42.2,1.44,0,67.1,85.2,48.9,0.43,0,44.26666667,70.83333333,56.83333333,WEST,California,64665,11088,47938,1186,695,0.171468337,0.741328385,0.018340679,0.0107477,0.196133921,0.202891827,Ukiah Municipal Airport,39.44054382
189,35,"Lassen County, California",6,1426,9707,23860,21790,3563,51555,19274,680,172900,6,35,4916,23860,3736,11655,2929,0.102077687,0.163515374,0.488474434,0.122757754,0.546218487,0,0.566929134,0,0.515151515,0,0.704225352,0,0.75,0,204,0.017910875,0.016938111,0.019207927,0.021095274,0.020848447,40.721089,120.629931,0.616504898,0,0.019200127,42,56,27.9,0.78,,63.2,84.3,42.1,0.16,,26.5,38.1,14.9,1.47,,31.1,42.1,20.2,0.9,,27,39.1,14.9,1.12,,65.1,85.1,45,0.32,,57.4,75.1,39.7,0.69,,37.2,49.1,25.4,0.94,,50,65.9,34,1.12,,34.2,47.7,20.8,1.03,,45.4,63.4,27.5,0.77,,55.7,75.9,35.5,0.45,,28.2,61.9,44.56666667,WEST,California,34895,6117,23270,2790,337,0.175297321,0.666857716,0.079954148,0.009657544,0.107064049,0.140879782,Truckee Tahoe Airport,161.0932421
